shouldnt,shouldn't : 0, , ,A, , ,A,shouldst : 249,A,shouldest : 1355
swival,swivel : 14691, , ,A, , ,A, ,A,siva : 4727
apropriation,appropriation : 690012, , ,A, , ,A,propriation : 0,A,appropriations : 316905
furr,fur : 114354,furry : 14022,fury : 7867,A,four : 1508022,fire : 309548,A,furor : 6907,A,form : 1056661
fer,for : 70909225,far : 7549094,fear : 5254143,A,very : 12016458,fire : 3916870,A,few : 484729,A,were : 41141560
stabed,stabbed : 19759, , ,A,stubbed : 2277,stuped : 0,A,stated : 3854,A,state : 743902
Suothwode, , , ,A, , ,A, ,A
distrebe, , , ,A, , ,A, ,A,distress : 7865
desturb,disturb : 185925, , ,A, , ,A,deturb : 0,A,disturbs : 20567
reclections, , , ,A,recollections : 29519, ,A,reflections : 3859,A,reflection's : 0
recolections,recollections : 142538, , ,A,recollection's : 0, ,A, ,A,recollection : 98622
prise,price : 4092352,prize : 2904529,praise : 460654,A,press : 1937358,paris : 949256,A,pride : 46612,A,prices : 1797417
prizer,prier : 0, , ,A,praiser : 0, ,A,prize : 55444,A,prior : 318836
wensday, , , ,A, , ,A, ,A,wednesday : 302681
wedensday, , , ,A,wednesday : 7327, ,A, ,A
sucession,secession : 12594, , ,A,sezession : 0, ,A,succession : 1194664,A,session : 17144
sucesion, , , ,A,secession : 52170, ,A, ,A,succession : 875152
succesion,succession : 555640, , ,A, , ,A, ,A,successions : 19451
strate,strata : 207496,striate : 14055,strati : 0,A,strait : 268612,stride : 34539,A,state : 519061,A,stated : 1170521
strait,streit : 3669,strit : 0, ,A,street : 2010243,straight : 707312,A,straits : 128221,A,strict : 150577
staidght, , , ,A, , ,A, ,A,staidest : 0
stright*2, , , ,A,stright : 0, ,A, ,A
gards_men, , , ,A,guardsmen : 44342, ,A, ,A
increented, , , ,A, , ,A,incremented : 2839,A,incredited : 0
backen,baken : 0, , ,A,bacon : 97522,beckon : 4698,A,bracken : 26551,A,back : 6740695
baken,backen : 0, , ,A,bacon : 89197, ,A,taken : 14792,A,been : 1836344
pluse,plus : 265045, , ,A,place : 7331257,please : 1233444,A,pluses : 4538,A,blue : 459779
elagent,eligent : 0, , ,A, , ,A, ,A,element : 606652
elligit, , , ,A,elegit : 0, ,A, ,A,illicit : 50416
secand,second : 4102797,secant : 745,secund : 0,A,scant : 13274,seconde : 5790,A, ,A,stand : 353976
sexeon, , , ,A,saxon : 122677, ,A,sexton : 1129,A,season : 21441
secund,second : 1510945,secunda : 4315, ,A,seconde : 4275,secondo : 1688,A,fecund : 220,A,secured : 376701
seconnd,second : 569510, , ,A,seconde : 3725,secondo : 1112,A, ,A,seconds : 118441
seond,send : 23875,sond : 0, ,A,sound : 2518938,sand : 322515,A,second : 3733921,A,beyond : 2531935
sekon, , , ,A,skin : 320956,sycon : 0,A,seton : 664,A,second : 2285580
jam_jar, , , ,A, , ,A, ,A,jamadar : 0
saled,sailed : 1080121,sealed : 191016,salad : 143574,A,solid : 1103092,sold : 684343,A,scaled : 169427,A,said : 14500104
saild,sailed : 502965,sauld : 0, ,A,salt : 167660,sold : 109371,A,said : 2782412,A,child : 3464119
boludes,bolides : 0, , ,A,blades : 17519,boldos : 0,A,boluses : 0,A,blues : 8924
thounder,thunder : 11528,thonder : 0, ,A,thundery : 0, ,A,hounder : 0,A,thunders : 5686
coking,cooking : 187541,cocking : 13431,caking : 1753,A,cauking : 0, ,A,choking : 103831,A,making : 1254669
chocking,checking : 54587,shocking : 31924,chucking : 2320,A,shucking : 0, ,A,cocking : 1417,A,cooking : 26632
kooking,cooking : 60792, , ,A,kicking : 5325,cocking : 816,A,looking : 21588,A,knocking : 41577
cocking,coking : 520,cooking : 502,cacking : 0,A,kicking : 26372,caking : 305,A,clocking : 1624,A,checking : 336798
fosscil, , , ,A, , ,A,fossil : 13574,A,fossils : 24964
incased,encased : 18778,uncased : 0, ,A,uncaused : 7947,incast : 0,A,incised : 39374,A,increased : 1974198
ingreesh_this, , , ,A, , ,A, ,A
incresing,increasing : 4400109, , ,A,incrossing : 0, ,A, ,A,inclosing : 2332
incriosing, , , ,A,increasing : 1029199,incrossing : 0,A, ,A,inclosing : 211
increacing,increasing : 626104, , ,A, , ,A, ,A,uncreating : 0
incressing,increasing : 31550,incrossing : 0, ,A,uncrossing : 0, ,A, ,A,undressing : 2615
increcing, , , ,A,increasing : 2513106, ,A, ,A,increeping : 0
ingeker, , , ,A, , ,A, ,A,intaker : 0
incrsin, , , ,A,incursion : 13525, ,A, ,A,ingrain : 0
inceasing,increasing : 2241161,unceasing : 14310, ,A,incising : 2345, ,A,incensing : 0,A,encasing : 1422
inceing, , , ,A,wincing : 695,inswing : 0,A,inching : 155,A,inciting : 23795
increase,encrease : 3374, , ,A, , ,A,increased : 4387459,A,increst : 0
insest,insist : 376666,incest : 80418, ,A, , ,A,insect : 299399,A,insists : 172851
ingcresing, , , ,A, , ,A, ,A,increasing : 2247253
incuiseing, , , ,A,incusing : 0, ,A, ,A,incising : 745
enchres,euchres : 0, , ,A, , ,A,encores : 23,A,inches : 665748
intheris, , , ,A,anthers : 4353, ,A, ,A,inheres : 3168
incesing,incising : 6151, , ,A,unceasing : 44178, ,A,incusing : 0,A,inciting : 14376
encreing, , , ,A,encoring : 0, ,A, ,A,encoding : 1782
increesing,increasing : 1817743, , ,A,incrossing : 0, ,A,increeping : 0,A,uncreeping : 0
crace,grace : 365909,craze : 5996,chace : 73,A,crazy : 168336,crease : 22459,A,trace : 47750,A,case : 1978913
encrising, , , ,A, , ,A, ,A,enclosing : 9298
increaseng,increasing : 2364088, , ,A, , ,A, ,A
encressing, , , ,A,increasing : 1197819,engrossing : 5589,A, ,A,undressing : 3500
in_cresing, , , ,A,increasing : 2198706, ,A, ,A
incrising,incising : 91, , ,A,increasing : 1633888,incrossing : 0,A, ,A,inclosing : 1140
incersinges, , , ,A, , ,A, ,A
changing,clanging : 54, , ,A, , ,A,charging : 6508,A,chaining : 29541
incesting, , , ,A,insisting : 92736,encysting : 0,A,ingesting : 2811,A,inserting : 17311
encreasing,increasing : 2364088, , ,A, , ,A, ,A,encasing : 32
crissing,crossing : 63736,cissing : 0, ,A,cruising : 14425,caressing : 13477,A,crisping : 0,A,pressing : 126203
incriasing,increasing : 1204133, , ,A,incrossing : 0, ,A, ,A,incasing : 0
incsin, , , ,A, , ,A,inosin : 0,A,incision : 198858
incing,wincing : 0, , ,A,inswing : 0, ,A,inching : 12810,A,ending : 167583
increaseing,increasing : 473323, , ,A, , ,A, ,A
ingesing, , , ,A, , ,A,ingesting : 4920,A,incising : 3295
imceasing, , , ,A, , ,A, ,A,unceasing : 10332
incristing,incrusting : 0, , ,A,encrusting : 1882, ,A, ,A,incrossing : 0
engressing,engrossing : 6197, , ,A,ingrossing : 0, ,A,egressing : 0,A,undressing : 3824
ingresin, , , ,A,ingression : 0, ,A, ,A,ingress : 621
incrase,increase : 5272473,inchase : 0, ,A,encrease : 5201,incurse : 0,A,incase : 0,A,increased : 4403120
encash, , , ,A, , ,A,encase : 34,A,incas : 15923
heroe,here : 502236,hero : 21186, ,A,hire : 164747,hare : 76911,A,heroes : 286733,A,were : 1509029
dael,duel : 35563,del : 28386,diel : 2540,A,daily : 2507554,deal : 854756,A,gael : 1420,A,days : 3068388
repoter, , , ,A,repeater : 13024,rebater : 0,A,reporter : 142301,A,reputed : 25853
rebarter, , , ,A,reporter : 82085, ,A,rebater : 0,A,repartee : 953
reportor,reporter : 46751, , ,A,repertory : 24341, ,A, ,A,reported : 263071
reproter, , , ,A,reporter : 48282, ,A,reprover : 0,A,repeater : 3549
reoporter,reporter : 4329, , ,A, , ,A, ,A,reported : 68573
repoted,reputed : 48653, , ,A,repeated : 976778,rebated : 0,A,reported : 1304839,A,related : 734133
reporet,report : 2026406, , ,A,raport : 0, ,A, ,A,reports : 1299528
peportery, , , ,A, , ,A, ,A,reporter : 5382
